BusinessName,BusinessRating,UserName,UserRating,UserReview
The MasalaWala,4.5,Surashree K.,5,Quite possibly the best Indian food I've had in America. We enjoyed pretty much everything we ordered. I highly recommend the chicken biryani and the cheese...
The MasalaWala,4.5,Li J.,3,"A okay hipster Indian spot in the LES.  Food was perfectly fine.  Spicy but not all that flavorful.  Very clean.  Medium portions that were fine for me.

I..."
The MasalaWala,4.5,Alexandra C.,3,"I came to Masalawala on Christmas Eve with my sister. It had come with mixed reviews from friends but having been such a fan of its sister restaurant Adda,..."
Bengal Tiger Indian Food,4.5,Jonghan L.,5,What an incredible find in the heart of midtown! Came here at 545pm on a Sunday with a party of two and the restaurant is already packed! Goes to show how...
Bengal Tiger Indian Food,4.5,Teresa D.,4,The restaurant is slightly hidden as it's on the second floor of what looks like an apartment walk up. Once inside you have a bar area to right and a small...
Bengal Tiger Indian Food,4.5,Heidi M.,4,"I wasn't completely blown away by the food here, but it was certainly very satisfactory and very affordable for midtown. I work a block away, but only..."
Mughlai Grill,4.5,William Z.,5,"Top 5 restaurant in the city, not just in the Indian food category!

Sooo good, everything is cooked to perfection, and the service is top notch.

They have..."
Mughlai Grill,4.5,Scott L.,3,Came here on a Saturday night and the place wasn't too busy. I ordered the Tandoori chicken which came with rice and I also got the free side of naan with...
Mughlai Grill,4.5,Larissa F.,5,"Mughlai Grill has some truly delicious and unique offerings, and the best part is that they don't hold back when you order something spicy. I find that many..."
Cumin N Eat,5.0,Turd F.,5,If you put the address in maps it takes you to the center not to the restaurant. I had a hard time finding it. For a reference if you're walking out of the...
Cumin N Eat,5.0,Panhathai P.,5,"Very delicious Indian food. I ordered delivery and food arrived fast, warm and flavorful! Try Chicken Manchurian, so good."
Cumin N Eat,5.0,Tomasz R.,5,Really good food and nice service staff. The sauces are pretty spectacular. Golden milk was also an excellent choice.
Masti Indian Grill & Chatt Bar,4.5,Carlo A.,5,"Wasn't sure what to expect, as this place was either recently remodeled or re-branded, and the old place that was there never seemed to be open. Living..."
Masti Indian Grill & Chatt Bar,4.5,Ev E.,1,"This place was so, so bad.  I ordered delivery last night and it was an utter fail.  I had high hopes looking at the menu.  I ordered the Bhel Puri, Chole..."
Masti Indian Grill & Chatt Bar,4.5,Risa H.,5,Saw that this spot had a $5 off on Seamless for first orders so I decided to give it a try.  They didn't start orders till 12:45PM so I pre-ordered for...
Seva Indian Cuisine,4.5,Daniel M.,5,"All i have to tell you is $17 pre fix; mind blowing. Combined with outstanding service; good size portions then we have ourselves a win win situation. Yeah,..."
Seva Indian Cuisine,4.5,luc l.,4,"The lamb spring roll was fackin delicious. I think about it often.
Chicken tikka masala was good. 
The green chili was too spicy for me, and I was expecting..."
Seva Indian Cuisine,4.5,Charlie S.,5,My gf and I were pondering what we wanted for dinner in astoria. We knew we wanted strong flavors and decided to try Seva as we'd been craving Indian food....
Indian Table,4.5,Darren G.,5,"Tasteful establishment. Kevin (the owner) is extremely welcoming and really knows how to make his guest feel at home. 

The food is amazing and greatly..."
Indian Table,4.5,Michelle M.,4,"I gave this place 4 stars for the food, environment and service. The food leans toward a 3.5 side however,  but since the place is quaint and comfortable,..."
Indian Table,4.5,Matt M.,4,"What you would expect from a local neighborhood Indian restaurant - solid fare, wonderful ambiance, and an overall satisfying dining experience.

Service is..."
Pippali,4.0,Chatter B.,5,"This probably is the nicest and most consistent restaurant on Curry Hill. I absolutely love their flavors and when you ask them to add spice, they actually..."
Pippali,4.0,Andrea G.,4,My husband loves Indian food. I have only had Indian food at a buffet once or twice. I don't like buffets to begin with and I was not a fan. But Pippali had...
Pippali,4.0,Jacqueline F.,1,"Worst experience of my life. 

The food wasn't bad, I ordered the chicken tikka masala and garlic naan. The flavor wasn't bad, a tad salty. 

My biggest..."
Raju's Drunk Munky,4.5,Melissa A.,5,This is one of the best Indian restaurants in the city.  It's very inviting to enter and cozy cozy.  The service is very friendly and attentive.  The food...
Raju's Drunk Munky,4.5,Dipika A.,3,Went here for dinner with my cousin for his bday. Didn't really know what to think of this place..it just doesn't have a theme going and it's all over the...
Raju's Drunk Munky,4.5,Greg B.,2,"Ah man I wanted to really like this place. We like Indian food, and this place was going to be the redemption dinner after our ridiculous attempt to have..."
Bombay Grill,4.5,Jenny F.,5,"Great dinner here! 

Started with mushroom soup and papadum. Then I ordered the shrimp special, which came with rice. It was amazing, I finished it so..."
Bombay Grill,4.5,Priyanka M.,5,"The food here rarely-to-never disappoints! Even though they don't deliver to my address on seamless, I still call in and beg them to so that I can get in my..."
Bombay Grill,4.5,Houseof R.,5,"Honestly the most nicest people you will meet. The service was amazing, the food was so good! I'm Pakistani and live in LA. So I definitely have tried..."
Adda Indian Canteen,4.0,Sheena K.,5,"I came here last night on a double date and it was amazing. The ambiance was romantic and fun, the wait staff was very friendly and the food was DELICIOUS!..."
Adda Indian Canteen,4.0,Craig Z.,4,"So some of the dishes here are 5 star for sure, but I can't say that everything is, and it is a little pricey, so that's how I end up at 4 stars.  That..."
Adda Indian Canteen,4.0,Roxanne W.,1,"1) Bad service. After being seated, for a glass of water, we waited for 10 minutes. 
2) People coming inside crashing into people going outside. Bad design...."
Aahar Indian Cuisine,4.5,Dave F.,5,"Came here for a Mealpal lunch. I did not have to wait long and pickup was a breeze.


They had Vegetable Jalfrezi and Palak Paneer over rice as the special...."
Aahar Indian Cuisine,4.5,Victoria P.,4,"Service was friendly and fast.  The food tasted good.  The prices were not bad and they had clean restrooms.
I definitely recommend the samosas.  Delicious!..."
Aahar Indian Cuisine,4.5,Melanie S.,4,I randomly found this place while wandering midtown one weekend and was in the mood for Indian food. It has a nice atmosphere and servers who are very...
The Drunken Munkey - UES,4.5,Tanya D.,5,"I was in NYC for 5 days and this was across from the Courtyard Marriott UES. I ended up coming back for a second visit on my last night - incredible vibe,..."
The Drunken Munkey - UES,4.5,Michele S.,1,"BEWARE: Was excited to try this cute little Indian restaurant based on the Yelp reviews and was happy to be able to get a seat.  The atmosphere is great,..."
The Drunken Munkey - UES,4.5,Katherine G.,4,I regret not trying this place sooner! The food is delicious and fresh. The cocktails are delicious and thoughtfully made. Every time someone asks where to...
Ashoka Indian Restaurant,4.5,Marissa D.,5,I am obsessed with this place. The food is incredible and the people here are so nice and attentive. We always get the ragda chaat for an appetizer. I...
Ashoka Indian Restaurant,4.5,Marie S.,4,"Big portions, ok food. 
Ordered takeout from Ashoka last week, based upon the great reviews. I ordered the chicken tikka Marsala and saag paneer, plus a few..."
Ashoka Indian Restaurant,4.5,J J.,4,"good indian food prepared with care. the place is nicely designed and comfortable. nice for a date night or sharing a meal with friends. not loud, so easy..."
Angaar,4.5,Michael R.,5,"Quite honestly the best Indian food I've had in NYC. Lovely staff, excellent service, but most importantly, everything was delicious. The lamb rogan josh..."
Angaar,4.5,Alexia G.,3,I was very pleased with the service here. Everyone was so friendly and kind. It's such a cozy restaurant with an upstairs seating. I am so sad that it...
Angaar,4.5,James K.,1,"I went on December 17th.  I used to be a regular under the old owner.  I was a regular for lunch and dinner.

Under the old owner, the lunch special was..."
Mumbai Masala,4.5,Jin P.,5,"Murgh kadai. Two words that have changed my life. 

I used to work with a bunch of Indian aunties who would pack their native food for lunch every day. When..."
Mumbai Masala,4.5,Chris B.,2,UPDATE: They continue to lie about having a $6.96 lunch special. The server purposefully didn't present the lunch menu when I sat down. I asked for it as...
Mumbai Masala,4.5,Jessica C.,1,"I came here last night for New Year's Eve dinner with my husband, it was the first time that I have come here and the food is great- I would of given 5..."
Garam Masala,4.5,Zuri M.,5,This place is beyond amazing ! The food & service is excellent ! I can't believe how delicious it was ! I'll be raving about this place forever !
Garam Masala,4.5,Shashi P.,4,"I ordered Delivery from here.
Food was great and so was the service.
4 stars since its great but not exceptional.
Note: Lunch special comes in a lunch box..."
